state,abv,total,number,percent
Alabama,AL,4396,882,20.1
Alaska,AK,630,45,7.1
Arizona,AZ,4337,700,16.1
Arkansas,AR,2532,376,14.9
California,CA,32055,5342,16.7
Colorado,CO,3793,335,8.8
Connecticut,CT,3276,318,9.7
Delaware,DE,713,74,10.3
D.C.,DC,551,122,22.2
Florida,FL,14306,2321,16.2
Georgia,GA,7262,878,12.1
Hawaii,HI,1187,122,10.3
Idaho,ID,1154,167,14.5
Illinois,IL,11761,1459,12.4
Indiana,IN,5673,545,9.6
Iowa,IA,2894,352,12.2
Kansas,KS,2535,273,10.8
Kentucky,KY,3876,572,14.7
Louisiana,LA,4306,849,19.7
Maine,ME,1225,138,11.2
Maryland,MD,5133,520,10.1
Massachusetts,MA,6065,665,11.0
Michigan,MI,9637,1174,12.2
Minnesota,MN,4628,427,9.2
Mississippi,MS,2685,630,23.5
Missouri,MO,5140,484,9.4
Montana,MT,870,133,15.3
Nebraska,NE,1648,159,9.6
Nevada,NV,1558,173,11.1
New Hampshire,NH,1139,60,5.3
New Jersey,NJ,7879,617,7.8
New Mexico,NM,1806,457,25.3
New York,NY,18258,3020,16.5
North Carolina,NC,6935,877,12.6
North Dakota,ND,635,76,12.0
Ohio,OH,11211,1285,11.5
Oklahoma,OK,3204,548,17.1
Oregon,OR,3208,360,11.2
Pennsylvania,PA,12031,1464,12.2
Rhode Island,RI,962,102,10.6
South Carolina,SC,3741,744,19.9
South Dakota,SD,713,103,14.5
Tennessee,TN,5462,846,15.5
Texas,TX,18761,3270,17.4
Utah,UT,1999,168,8.4
Vermont,VT,593,61,10.3
Virginia,VA,6371,648,10.2
Washington,WA,5424,677,12.5
West Virginia,WV,1793,300,16.7
Wisconsin,WI,5300,449,8.5
Wyoming,WY,482,59,12.2
