state,abv,total,number,percent
Alabama,AL,4501,750,16.7
Alaska,AK,657,66,10.0
Arizona,AZ,6025,917,15.2
Arkansas,AR,2756,382,13.8
California,CA,35840,4716,13.2
Colorado,CO,4629,530,11.4
Connecticut,CT,3483,326,9.3
Delaware,DE,842,78,9.2
District of Columbia,DC,539,115,21.3
Florida,FL,17845,1975,11.1
Georgia,GA,9014,1298,14.4
Hawaii,HI,1274,110,8.6
Idaho,ID,1441,143,9.9
Illinois,IL,12571,1441,11.5
Indiana,IN,6131,774,12.6
Iowa,IA,2902,327,11.3
Kansas,KS,2693,337,12.5
Kentucky,KY,4049,599,14.8
Louisiana,LA,4086,748,18.3
Maine,ME,1314,166,12.6
Maryland,MD,5560,542,9.7
Massachusetts,MA,6318,641,10.1
Michigan,MI,9964,1196,12.0
Minnesota,MN,5113,412,8.1
Mississippi,MS,2843,571,20.1
Missouri,MO,5697,659,11.6
Montana,MT,926,128,13.8
Nebraska,NE,1760,167,9.5
Nevada,NV,2447,260,10.6
New Hampshire,NH,1298,73,5.6
New Jersey,NJ,8692,592,6.8
New Mexico,NM,1938,347,17.9
New York,NY,18995,2760,14.5
North Carolina,NC,8538,1115,13.1
North Dakota,ND,625,70,11.2
Ohio,OH,11310,1392,12.3
Oklahoma,OK,3486,543,15.6
Oregon,OR,3619,436,12.0
Pennsylvania,PA,12237,1372,11.2
Rhode Island,RI,1052,127,12.1
South Carolina,SC,4164,626,15.0
South Dakota,SD,765,90,11.8
Tennessee,TN,5853,872,14.9
Texas,TX,22777,3681,16.2
Utah,UT,2521,232,9.2
Vermont,VT,621,47,7.6
Virginia,VA,7442,684,9.2
Washington,WA,6237,636,10.2
West Virginia,WV,1795,276,15.4
Wisconsin,WI,5440,553,10.2
Wyoming,WY,509,54,10.6
