id	municipality	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name			
0900332640	Granby town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900133620	Greenwich town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0901133900	Griswold town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0901134250	Groton town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900934950	Guilford town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900735230	Haddam town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900935650	Hamden town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0901536000	Hampton town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900337070	Hartford town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900337140	Hartland town	CT06	CT	06	Northwest Hills Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900537280	Harwinton town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0901337910	Hebron town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900540290	Kent town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0901540500	Killingly town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900740710	Killingworth town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901142390	Lebanon town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0901142600	Ledyard town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0901143230	Lisbon town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900543370	Litchfield town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0901144210	Lyme town	CT03	CT	03	Lower CT River Valley Council of Governments	CT08	"Norwich-New London, CT"			
0900944560	Madison town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900344700	Manchester town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901344910	Mansfield town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900345820	Marlborough town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900946520	Meriden town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900946940	Middlebury town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0900747080	Middlefield town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900747360	Middletown town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900947535	Milford town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900148620	Monroe town	CT02	CT	02	Connecticut Metropolitan Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0901148900	Montville town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900549460	Morris town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0900949950	Naugatuck town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
