id	county	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name
13225	Peach County	GA07	GA	07	Middle Georgia Planning Commission	GA07	Warner Robins, GA
13227	Pickens County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13231	Pike County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13235	Pulaski County	GA07	GA	07	Middle Georgia Planning Commission	GA07	Warner Robins, GA
13245	Richmond County	GA08	GA	08	Central Savannah River Area Regional Commission	GA08	Augusta-Richmond County, GA-SC
13247	Rockdale County	GA01	GA	01	Atlanta Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13255	Spalding County	GA05	GA	05	Three Rivers Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13273	Terrell County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA
13295	Walker County	GA02	GA	02	Northwest Georgia Regional Planning Commission	TN08	Chattanooga, TN-GA
13297	Walton County	GA06	GA	06	Northeast Georgia Regional Commission	GA01	Atlanta-Sandy Springs-Roswell, GA
13313	Whitfield County	GA02	GA	02	Northwest Georgia Regional Planning Commission	GA02	Dalton, GA
13321	Worth County	GA04	GA	04	Southwest Georgia Regional Commission	GA04	Albany, GA
15003	Honolulu, City and County	HI50	HI	50	Oahu Metropolian Planning Organization 	HI50	Urban Honolulu, HI
15005	Kalawao County	HI99	HI	99	Unattached	HI51	Kahului-Wailuku-Lahaina, HI
15009	Maui County	HI51	HI	51	Maui MPO	HI51	Kahului-Wailuku-Lahaina, HI
16001	Ada County	ID01	ID	01	Community Planning Association of Southwest Idaho	ID01	Boise City, ID
16005	Bannock County	ID02	ID	02	Southeast Idaho Council of Governments	ID02	Pocatello, ID
16015	Boise County	ID99	ID	99	Unattached	ID01	Boise City, ID
16019	Bonneville County	ID03	ID	03	East Central Planning and Development Association	ID03	Idaho Falls, ID
16023	Butte County	ID03	ID	03	East Central Planning and Development Association	ID03	Idaho Falls, ID
16027	Canyon County	ID01	ID	01	Community Planning Association of Southwest Idaho	ID01	Boise City, ID
16041	Franklin County	ID02	ID	02	Southeast Idaho Council of Governments	UT04	Logan, UT-ID
16045	Gem County	ID99	ID	99	Unattached	ID01	Boise City, ID
16051	Jefferson County	ID03	ID	03	East Central Planning and Development Association	ID03	Idaho Falls, ID
16055	Kootenai County	ID04	ID	04	Panhandle Area Council	ID04	Coeur d'Alene, ID
16069	Nez Perce County	ID05	ID	05	Clearwater Economic Development Association	ID05	Lewiston, ID-WA
16073	Owyhee County	ID99	ID	99	Unattached	ID01	Boise City, ID
17003	Alexander County	IL11	IL	11	Southern Five Regional Planning District and Development Commission	MO17	Cape Girardeau, MO-IL
17005	Bond County	IL99	IL	99	Unattached	MO01	St. Louis, MO-IL
17007	Boone County	IL15	IL	15	Rockford Metropolitan Agency for Planning	IL15	Rockford, IL
17013	Calhoun County	IL99	IL	99	Unattached	MO01	St. Louis, MO-IL
17019	Champaign County	IL10	IL	10	Champaign County Regional Planning Commission	IL10	Champaign-Urbana, IL
17027	Clinton County	IL99	IL	99	Unattached	MO01	St. Louis, MO-IL
17031	Cook County	IL01	IL	01	Chicago Metropolitan Agency for Planning	IL01	Chicago-Naperville-Elgin, IL-IN-WI
17037	DeKalb County	IL50	IL	50	none	IL01	Chicago-Naperville-Elgin, IL-IN-WI
17039	De Witt County	IL99	IL	99	Unattached	IL13	Bloomington, IL
17043	DuPage County	IL01	IL	01	Chicago Metropolitan Agency for Planning	IL01	Chicago-Naperville-Elgin, IL-IN-WI
17053	Ford County	IL10	IL	10	Champaign County Regional Planning Commission	IL10	Champaign-Urbana, IL
17063	Grundy County	IL03	IL	03	North Central Illinois Council of Governments	IL01	Chicago-Naperville-Elgin, IL-IN-WI
17073	Henry County	IA02	IA	02	Bi-State Regional Commission	IW02	Davenport-Moline-Rock Island, IA-IL
17077	Jackson County	IL14	IL	14	Greater Egypt Regional Planning and Development Commission	IL14	Carbondale-Marion, IL
17083	Jersey County	IL99	IL	99	Unattached	MO01	St. Louis, MO-IL
17089	Kane County	IL01	IL	01	Chicago Metropolitan Agency for Planning	IL01	Chicago-Naperville-Elgin, IL-IN-WI
17091	Kankakee County	IL51	IL	51	none	IL51	Kankakee, IL
17093	Kendall County	IL01	IL	01	Chicago Metropolitan Agency for Planning	IL01	Chicago-Naperville-Elgin, IL-IN-WI
17097	Lake County	IL01	IL	01	Chicago Metropolitan Agency for Planning	IL01	Chicago-Naperville-Elgin, IL-IN-WI
17111	McHenry County	IL01	IL	01	Chicago Metropolitan Agency for Planning	IL01	Chicago-Naperville-Elgin, IL-IN-WI
17113	McLean County	IL13	IL	13	Mclean County Regional Planning Commission	IL13	Bloomington, IL
17115	Macon County	IL52	IL	52	none	IL52	Decatur, IL
17117	Macoupin County	IL99	IL	99	Unattached	MO01	St. Louis, MO-IL
17119	Madison County	MO01	MO	01	East-West Gateway Council of Governments	MO01	St. Louis, MO-IL
17123	Marshall County	IL03	IL	03	North Central Illinois Council of Governments	IL06	Peoria, IL
17129	Menard County	IL99	IL	99	Unattached	IL12	Springfield, IL
17131	Mercer County	IA02	IA	02	Bi-State Regional Commission	IW02	Davenport-Moline-Rock Island, IA-IL
17133	Monroe County	MO01	MO	01	East-West Gateway Council of Governments	MO01	St. Louis, MO-IL
17143	Peoria County	IL06	IL	06	Tri-County Regional Planning Commission	IL06	Peoria, IL
17147	Piatt County	IL10	IL	10	Champaign County Regional Planning Commission	IL10	Champaign-Urbana, IL
