year,race,percentage
2010,asianPI,0.000
2010,hispanic,4.377
2011,whiteAlone,10.050
2011,white,0.000
2011,whiteANH,6.218
2011,whiteNH,0.000
2011,blackCombo,3.805
2011,blackAlone,3.545
2011,black,0.000
2011,asianCombo,0.710
2011,asianAlone,0.640
2011,asianPI,0.000
2011,hispanic,4.296
2012,whiteAlone,9.900
2012,white,0.000
2012,whiteANH,6.110
2012,whiteNH,0.000
2012,blackCombo,3.810
2012,blackAlone,3.520
2012,black,0.000
2012,asianCombo,0.668
2012,asianAlone,0.620
2012,asianPI,0.000
2012,hispanic,4.393
2013,whiteAlone,10.050
2013,white,0.000
2013,whiteANH,6.281
2013,whiteNH,0.000
2013,blackCombo,3.787
2013,blackAlone,3.477
2013,black,0.000
2013,asianCombo,0.716
2013,asianAlone,0.662
2013,asianPI,0.000
2013,hispanic,4.275
2014,whiteAlone,10.050
2014,white,0.000
2014,whiteANH,6.318
2014,whiteNH,0.000
2014,blackCombo,3.723
2014,blackAlone,3.458
2014,black,0.000
2014,asianCombo,0.729
2014,asianAlone,0.687
2014,asianPI,0.000
2014,hispanic,4.213
2015,whiteAlone,9.240
2015,white,0.000
2015,whiteANH,5.774
2015,whiteNH,0.000
2015,blackCombo,3.505
2015,blackAlone,3.253
2015,black,0.000
2015,asianCombo,0.725
2015,asianAlone,0.675
2015,asianPI,0.000
2015,hispanic,3.939
2016,whiteAlone,8.710
2016,white,0.000
2016,whiteANH,5.525
2016,whiteNH,0.000
2016,blackCombo,3.190
2016,blackAlone,2.956
2016,black,0.000
2016,asianCombo,0.660
2016,asianAlone,0.611
2016,asianPI,0.000
2016,hispanic,3.565
